Misspelled_Make,Misspelled_Model,Correct_Make,Correct_Model
Toyotta,Camrey,Toyota,Camry
Honnda,Civik,Honda,Civic
Forde,F-15O,Ford,F-150
Chevrolett,Malibue,Chevrolet,Malibu
Mersedes,C-Klass,Mercedes,C-Class
Nisan,Altima,Nissan,Altima
Volswagon,Jettta,Volkswagen,Jetta
Hyndai,Sonata,Hyundai,Sonata
Kiaa,Sportaje,Kia,Sportage
BMV,X5,BMW,X5
Audi,A4,Audi,A4
Lexuss,ES-35O,Lexus,ES-350
Mazda,CX-5,Mazda,CX-5
Subaru,Forestor,Subaru,Forester
Acurra,TLX,Acura,TLX
Jeap,Grannd Cherokke,Jeep,Grand Cherokee
Chryseler,Paciffica,Chrysler,Pacifica
Infiniti,Q5O,Infiniti,Q50
Buik,Enclaive,Buick,Enclave
Lincolnn,Navigattor,Lincoln,Navigator
Cadilac,Esclade,Cadillac,Escalade
Porche,911,Porsche,911
Jagwar,F-Pace,Jaguar,F-Pace
Landrover,Discovary,Land Rover,Discovery
Volvoe,XC90,Volvo,XC90
GMC,Siera,GMC,Sierra
Dodge,Chalenjer,Dodge,Challenger
Ram,15OO,Ram,1500
Tesler,Modell 3,Tesla,Model 3
Mini,Coopper,Mini,Cooper
Fiat,5OO,Fiat,500
Alfa Romio,Giulia,Alfa Romeo,Giulia
Genisis,G7O,Genesis,G70
Mitsubishe,Outlender,Mitsubishi,Outlander
Toyotta,Rav4,Toyota,RAV4
Honnda,Acord,Honda,Accord
Forde,Mustanng,Ford,Mustang
Chevrolett,Equinox,Chevrolet,Equinox
Mersedes,E-Clas,Mercedes,E-Class
Nisan,Rougue,Nissan,Rogue
Volswagon,Tiguan,Volkswagen,Tiguan
Hyndai,Elanntra,Hyundai,Elantra
Kiaa,Tellurid,Kia,Telluride
BMV,3-Seres,BMW,3-Series
Audi,Q7,Audi,Q7
Lexuss,RX-35O,Lexus,RX-350
Mazda,Mazda3,Mazda,Mazda3
Subaru,Outbak,Subaru,Outback
Acurra,RDX,Acura,RDX
Jeap,Wranglr,Jeep,Wrangler
Chryseler,3OO,Chrysler,300
Infiniti,QX6O,Infiniti,QX60
Buik,Regal,Buick,Regal
Lincolnn,Corsair,Lincoln,Corsair
Cadilac,CT5,Cadillac,CT5
Porche,Cayene,Porsche,Cayenne
Jagwar,XE,Jaguar,XE
Landrover,Range Rovr,Land Rover,Range Rover
Volvoe,S60,Volvo,S60
GMC,Terrane,GMC,Terrain
Dodge,Duranggo,Dodge,Durango
Ram,25OO,Ram,2500
Tesler,Modell S,Tesla,Model S
Mini,Countryman,Mini,Countryman
Fiat,124 Spyder,Fiat,124 Spider
Alfa Romio,Stelvio,Alfa Romeo,Stelvio
Genisis,G8O,Genesis,G80
Mitsubishe,Eclips Cross,Mitsubishi,Eclipse Cross
Toyotta,Corollla,Toyota,Corolla
Honnda,CR-V,Honda,CR-V
Forde,Explrer,Ford,Explorer
Chevrolett,Silveradoo,Chevrolet,Silverado
Mersedes,GLE,Mercedes,GLE
Nisan,Sentra,Nissan,Sentra
Volswagon,Passat,Volkswagen,Passat
Hyndai,Tucsan,Hyundai,Tucson
Kiaa,Sorentto,Kia,Sorento
BMV,X3,BMW,X3
Audi,S4,Audi,S4
Lexuss,NX,Lexus,NX
Mazda,CX-9,Mazda,CX-9
Subaru,Impreza,Subaru,Impreza
Acurra,MDX,Acura,MDX
Jeap,Cheroke,Jeep,Cherokee
Chryseler,Voyager,Chrysler,Voyager
Infiniti,QX5O,Infiniti,QX50
Buik,Envision,Buick,Envision
Lincolnn,Aviater,Lincoln,Aviator
Cadilac,XT5,Cadillac,XT5
Porche,Macan,Porsche,Macan
Jagwar,XF,Jaguar,XF
Landrover,Evoke,Land Rover,Evoque
Volvoe,XC60,Volvo,XC60
GMC,Yukon,GMC,Yukon
Dodge,Charger,Dodge,Charger
Ram,ProMaster,Ram,ProMaster
Tesler,Modell X,Tesla,Model X
Mini,Clubmann,Mini,Clubman
Fiat,500X,Fiat,500X
Alfa Romio,4C,Alfa Romeo,4C
Genisis,GV8O,Genesis,GV80
Mitsubishe,Mirage,Mitsubishi,Mirage
Toyotta,Highlander,Toyota,Highlander
Honnda,Pilot,Honda,Pilot
Forde,Escap,Ford,Escape
Chevrolett,Traversse,Chevrolet,Traverse
Mersedes,A-Clas,Mercedes,A-Class
Nisan,Maxima,Nissan,Maxima
Volswagon,Atlas,Volkswagen,Atlas
Hyndai,Santa Fe,Hyundai,Santa Fe
Kiaa,Forte,Kia,Forte
BMV,7-Seres,BMW,7-Series
Audi,TT,Audi,TT
Lexuss,IS,Lexus,IS
Mazda,MX-5 Miatta,Mazda,MX-5 Miata
Subaru,Ascent,Subaru,Ascent
Acurra,ILX,Acura,ILX
Jeap,Compass,Jeep,Compass
Chryseler,Voyagr,Chrysler,Voyager
Infiniti,Q6O,Infiniti,Q60
Buik,LaCross,Buick,LaCrosse
Lincolnn,MKZ,Lincoln,MKZ
Cadilac,CT4,Cadillac,CT4
Porche,Panamerra,Porsche,Panamera
Jagwar,I-Pace,Jaguar,I-Pace
Landrover,Defender,Land Rover,Defender
Volvoe,V90,Volvo,V90
GMC,Acadia,GMC,Acadia
Dodge,Journy,Dodge,Journey
Ram,35OO,Ram,3500
Tesler,Modell Y,Tesla,Model Y
Mini,Convertibel,Mini,Convertible
Fiat,500L,Fiat,500L
Alfa Romio,Tonale,Alfa Romeo,Tonale
Genisis,G9O,Genesis,G90
Mitsubishe,Outlandr Sport,Mitsubishi,Outlander Sport
Toyotta,Sienna,Toyota,Sienna
Honnda,Fit,Honda,Fit
Forde,Edge,Ford,Edge
Chevrolett,Blazer,Chevrolet,Blazer
Mersedes,CLA,Mercedes,CLA
Nisan,Kicks,Nissan,Kicks
Volswagon,Golf,Volkswagen,Golf
Hyndai,Palisad,Hyundai,Palisade
Kiaa,Soul,Kia,Soul
BMV,X7,BMW,X7
Audi,RS5,Audi,RS5
Lexuss,GX,Lexus,GX
Mazda,CX-3O,Mazda,CX-30
Subaru,BRZ,Subaru,BRZ
Acurra,NSX,Acura,NSX
Jeap,Renegade,Jeep,Renegade
Chryseler,Voyagr,Chrysler,Voyager
Infiniti,QX8O,Infiniti,QX80
Buik,Encore,Buick,Encore
Lincolnn,Continental,Lincoln,Continental
Cadilac,XT6,Cadillac,XT6
Porche,Boxster,Porsche,Boxster
Jagwar,XJ,Jaguar,XJ
Landrover,Velar,Land Rover,Velar
Volvoe,S90,Volvo,S90
GMC,Canyon,GMC,Canyon
Dodge,Caravan,Dodge,Caravan
Ram,Promaster City,Ram,ProMaster City
Tesler,Cybertruck,Tesla,Cybertruck
Mini,John Cooper Wrks,Mini,John Cooper Works
Fiat,124 Spyder,Fiat,124 Spider
Alfa Romio,Giulietta,Alfa Romeo,Giulietta
Genisis,GV7O,Genesis,GV70
Mitsubishe,Lancer,Mitsubishi,Lancer
Toyotta,Tacoma,Toyota,Tacoma
Honnda,HR-V,Honda,HR-V
Forde,Rangr,Ford,Ranger
Chevrolett,Coloradoo,Chevrolet,Colorado
Mersedes,GLC,Mercedes,GLC
Nisan,Armada,Nissan,Armada
Volswagon,Arteon,Volkswagen,Arteon
Hyndai,Veloster,Hyundai,Veloster
Kiaa,Niro,Kia,Niro
BMV,i3,BMW,i3
Audi,e-tron,Audi,e-tron
Lexuss,LC,Lexus,LC
Mazda,6,Mazda,6
Subaru,Crosstrek,Subaru,Crosstrek
Acurra,TLX Type S,Acura,TLX Type S
Jeap,Gladiator,Jeep,Gladiator
Chryseler,Voyagr,Chrysler,Voyager
Infiniti,QX5O,Infiniti,QX50
Buik,Encore GX,Buick,Encore GX
Lincolnn,Nautilas,Lincoln,Nautilus
Cadilac,Lyriq,Cadillac,Lyriq
Porche,Taycan,Porsche,Taycan
Jagwar,E-Pace,Jaguar,E-Pace
Landrover,Discovry Sport,Land Rover,Discovery Sport
Volvoe,V60,Volvo,V60
GMC,Hummer EV,GMC,Hummer EV
Dodge,Hornet,Dodge,Hornet
Ram,Rebel,Ram,Rebel
Tesler,Roadstr,Tesla,Roadster
Mini,Electric,Mini,Electric
Fiat,Tipo,Fiat,Tipo
Alfa Romio,Giulia Quadrifoglio,Alfa Romeo,Giulia Quadrifoglio
Genisis,Electrified G80,Genesis,Electrified G80
Mitsubishe,Pajero,Mitsubishi,Pajero
Toyotta,Tundra,Toyota,Tundra
Honnda,Ridgeline,Honda,Ridgeline
Forde,Bronco,Ford,Bronco
Chevrolett,Bolt,Chevrolet,Bolt
Mersedes,EQS,Mercedes,EQS
Nisan,Leaf,Nissan,Leaf
Volswagon,ID.4,Volkswagen,ID.4
Hyndai,Ioniq,Hyundai,Ioniq
Kiaa,EV6,Kia,EV6
BMV,iX,BMW,iX
Audi,Q4 e-tron,Audi,Q4 e-tron
Lexuss,UX,Lexus,UX
Mazda,MX-30,Mazda,MX-30
Subaru,Solterra,Subaru,Solterra
Acurra,Integra,Acura,Integra
Jeap,Wagoneer,Jeep,Wagoneer
Chryseler,Paciffica Hybrid,Chrysler,Pacifica Hybrid
Infiniti,QX55,Infiniti,QX55
Buik,Envista,Buick,Envista
Lincolnn,Corsair Grand Touring,Lincoln,Corsair Grand Touring
Cadilac,Celestiq,Cadillac,Celestiq
Porche,718 Cayman,Porsche,718 Cayman
Jagwar,F-Type,Jaguar,F-Type
Landrover,Range Rover Sport,Land Rover,Range Rover Sport
Volvoe,C40 Recharge,Volvo,C40 Recharge
GMC,Canyon AT4,GMC,Canyon AT4
